"","genomicsSampleID","soilMoisture","decimalLatitude","decimalLongitude","elevation","soilTemp","soilInWaterpH","soilInCaClpH","bin_oid","bin_id","site","site_ID","subplot","layer","quadrant","date","img_genome_id","bin_quality","bin_lineage","gtdb_taxonomy_lineage","domain","phylum","class","order","family","genus","bin_methods","created_by","date_added","bin_completeness","bin_contamination","average_coverage","total_number_of_bases","x5s_r_rna","x16s_r_rna","x23s_r_rna","t_rna_genes","gene_count","scaffold_count","gold_study_id","community","type"
"1","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s0","3300079481_s0","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota; Terriglobia","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; SbA1; Sulfotelmatobacter","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","Sulfotelmatobacter","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,95.61,4.96,NA,6486507,1,1,0,54,5785,100,"Gs0166454","Soil microbial communities","Soil"
"2","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s1","3300079481_s1","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"HQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Palsa-744","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Palsa-744","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,94.66,1.99,NA,3237739,1,1,2,51,3054,52,"Gs0166454","Soil microbial communities","Soil"
"3","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s101","3300079481_s101","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Palsa-744","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Palsa-744","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,51.78,9.42,NA,2712910,1,1,1,30,3039,513,"Gs0166454","Soil microbial communities","Soil"
"4","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s11","3300079481_s11","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; SbA1; Sulfotelmatobacter","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","Sulfotelmatobacter","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,60.83,0.04,NA,2720369,0,0,0,10,2539,152,"Gs0166454","Soil microbial communities","Soil"
"5","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s15","3300079481_s15","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota","Bacteria; Acidobacteriota; Terriglobia; Acidoferrales; UBA7541; Palsa-295","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Palsa-295","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,81.54,0.18,NA,3539081,0,0,0,30,3314,245,"Gs0166454","Soil microbial communities","Soil"
"6","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s2","3300079481_s2","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; SbA1; Sulfotelmatobacter","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","Sulfotelmatobacter","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,88.11,0.19,NA,3957793,1,0,0,29,3753,91,"Gs0166454","Soil microbial communities","Soil"
"7","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s23","3300079481_s23","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ",NA,"Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Palsa-504","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Palsa-504","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,77.19,4.25,NA,6054409,0,0,0,36,5943,497,"Gs0166454","Soil microbial communities","Soil"
"8","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s24","3300079481_s24","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Pseudomonadota; Gammaproteobacteria","Bacteria; Pseudomonadota; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198","Bacteria","Pseudomonadota","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Bog-1198","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,66.34,0.66,NA,2329620,0,0,0,21,2297,188,"Gs0166454","Soil microbial communities","Soil"
"9","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s25","3300079481_s25","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota; Terriglobia","Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; Palsa-89","Bacteria","Acidobacteriota","Terriglobia","Bryobacterales","Bryobacteraceae","Palsa-89","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,66.1,0.16,NA,4300045,0,0,0,24,4305,470,"Gs0166454","Soil microbial communities","Soil"
"10","BONA_001-O-20230710",1.546,65.174447,-147.478155,374.1,8.1,3.99397618188694,3.44995065416142,"3300079481_s3","3300079481_s3","Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA","BONA","001","O",NA,"20230710",3300079481,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; SbA1; QIAJ01","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","QIAJ01","SemiBin2:v2.1.0, CheckM2:v1.0.2, GTDB-Tk:v2.4.0, GTDB-Tk-database:release220","IMG_PIPELINE",2025-02-03,66.93,3.17,NA,4009333,0,0,0,37,3695,227,"Gs0166454","Soil microbial communities","Soil"
